city,population,population_year,population_date,source
Brzesko,15759,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Bogatynia,15746,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Łask,15728,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Braniewo,15725,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Libiąż,15719,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Pionki,15680,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Rawa Mazowiecka,15646,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Radzymin,15605,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Hrubieszów,15588,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Olecko,15517,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Nowogard,15479,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Gubin,15297,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Sulechów,15260,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Gryfice,15165,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Rypin,15155,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Międzyrzec Podlaski,15146,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Kozienice,15138,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Grodzisk Wielkopol,15109,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Krapkowice,15080,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Solec Kujawski,15066,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Jelcz-Laskowice,14817,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Strzegom,14706,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Brwinów,14664,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Mosina,14495,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Przeworsk,14354,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Świdwin,14333,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Limanowa,14293,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Nisko,14220,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Lidzbark Warmiński,14205,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Łapy,14196,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Busko-Zdrój,14019,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Boguszów-Gorce,14008,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Radzyń Podlaski,13949,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Ząbkowice Śląskie,13924,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Złotoryja,13863,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Dęblin,13769,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Jędrzejów,13742,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Choszczno,13700,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Trzebnica,13579,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Kartuzy,13540,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Chełmża,13462,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Ostrzeszów,13392,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Nowy Tomyśl,13363,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Kępno,13350,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Ustka,13310,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Staszów,13278,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Siemiatycze,13221,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Lipno,13206,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Skoczów,13108,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Gołdap,13018,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
