city,population,population_year,population_date,source
Siedliszcze,1313,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Frampol,1309,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Lubień Kujawski,1296,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Gowarczów,1290,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Czemierniki,1288,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Nowa Słupia,1265,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Jeżów,1252,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Szlichtyngowa,1223,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Iwaniska,1200,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Jastrząb,1184,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Skalbmierz,1175,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Pierzchnica,1173,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Włodowice,1160,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Jawornik Polski,1143,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Krynica Morska,1143,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Bobrowniki,1142,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Bodzanów,1126,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Osieck,1114,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Żarnów,1102,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Stopnica,1098,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Białaczów,1098,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Bogoria,1092,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Przyrów,1085,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Miasteczko Krajeńs,1060,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Nowe Warpno,1037,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Pacanów,1021,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Grabów,1009,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Kleszczele,999,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Odrzywół,991,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Sobków,989,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Czerwińsk nad Wisł,976,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Magnuszew,973,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Bircza,973,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Suraż,949,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Sienno,948,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Szydłów,944,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Dąbrowice,940,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Parzęczew,926,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Wodzisław,908,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Przytyk,902,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Jadów,897,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Solec nad Wisłą,894,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Bolimów,889,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Wąwolnica,882,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Goraj,879,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Nowy Korczyn,876,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Wyśmierzyce,861,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Książ Wielki,841,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Brody,835,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Działoszyce,822,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Głowaczów,800,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Turobin,797,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Kiernozia,790,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Józefów nad Wisłą,776,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Dubiecko,774,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Gielniów,767,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Inowłódz,766,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Koszyce,764,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Ciepielów,706,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Wiślica,446,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Kazanów,396,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Opatowiec,306,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
